menu_title,positive,negative,very_negative,neutral,reasoning
Easy Chicken Fajita Marinade,3,2,0,0,"honey (negative): A source of sugar and potassium; should be consumed in moderation. | paprika (positive): A salt-free spice that is excellent for flavoring food. | chili powder (negative): Commercial chili powders are often high in sodium. | garlic powder (positive): A good salt-free seasoning to add flavor to food. | lime juice (positive): Source of citrate, which can help prevent certain types of kidney stones. Low in potassium and sodium."
Boneless Buffalo Wings,4,4,2,0,"hot pepper sauce (very negative): Typically extremely high in sodium. | deep frying (negative): This cooking method adds excessive fat, which can worsen cardiovascular health, a major concern for individuals with kidney disease. | milk (negative): High in potassium and phosphorus. | cayenne pepper (positive): A spice that can add flavor to food without adding sodium. | salt (very negative): The primary source of sodium, which must be strictly limited to control blood pressure and fluid retention. | paprika (positive): A salt-free spice that is excellent for flavoring food. | egg (negative): The yolk is very high in phosphorus. Egg whites are a better choice. | garlic powder (positive): A good salt-free seasoning to add flavor to food. | all purpose flour (positive): Refined flour is lower in potassium and phosphorus than whole grain flours, making it a better choice for a renal diet. | butter (negative): High in saturated fat. Salted butter is very high in sodium. Unsalted should be used sparingly."
Vietnamese Aromatic Lamb Chops,5,2,1,0,"garlic (positive): Excellent for adding flavor without sodium and has potential anti-inflammatory properties. | chili powder (negative): Commercial chili powders are often high in sodium. | soy sauce (very negative): Extremely high in sodium, which must be severely restricted in a kidney-friendly diet. | olive oil (positive): A healthy, phosphorus-free fat source with anti-inflammatory properties, excellent for kidney-friendly cooking. | cilantro (positive): A low-potassium herb that adds flavor without sodium. | garlic powder (positive): A good salt-free seasoning to add flavor to food. | lime juice (positive): Source of citrate, which can help prevent certain types of kidney stones. Low in potassium and sodium. | lamb loin chop (negative): A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled."
Joy's Green Banana Salad,4,4,3,0,"banana (very negative): Famously high in potassium and one of the first fruits to be limited for kidney patients. | sweet onion (positive): Low in potassium and provides excellent flavor without adding sodium. | salt (very negative): The primary source of sodium, which must be strictly limited to control blood pressure and fluid retention. | bacon (very negative): A processed meat that is very high in sodium and often contains phosphorus additives. | egg (negative): The yolk is very high in phosphorus. Egg whites are a better choice. | crab meat (negative): High in phosphorus and canned versions are often high in sodium. | olive oil (positive): A healthy, phosphorus-free fat source with anti-inflammatory properties, excellent for kidney-friendly cooking. | green bell pepper (positive): A low-potassium vegetable and a good source of vitamins. | red wine vinegar (positive): A good way to add flavor without salt; low in sodium, potassium, and phosphorus. | sugar (negative): Should be limited, especially for those with diabetes, a leading cause of kidney disease. | shrimp (negative): High in phosphorus and often prepared with high amounts of sodium."
Danish Christmas Red Cabbage,3,1,1,0,"red cabbage (positive): A low-potassium vegetable rich in vitamins and antioxidants. | salt (very negative): The primary source of sodium, which must be strictly limited to control blood pressure and fluid retention. | water (positive): Crucial for flushing toxins, though intake may be restricted in late-stage disease. | sugar (negative): Should be limited, especially for those with diabetes, a leading cause of kidney disease. | white vinegar (positive): A good way to add flavor to foods without adding sodium, potassium, or phosphorus."
Sweet Plantain Pie,3,2,5,0,"olive (very negative): Typically cured in brine, making them extremely high in sodium. | sofrito (negative): Typically contains tomatoes (high potassium) and commercial versions are very high in sodium. | salt (very negative): The primary source of sodium, which must be strictly limited to control blood pressure and fluid retention. | ham (very negative): A processed meat that is extremely high in sodium and often contains phosphate additives. | tomato sauce (very negative): Very high in potassium and typically very high in sodium. | garlic powder (positive): A good salt-free seasoning to add flavor to food. | oregano (positive): A salt-free herb that is excellent for flavoring food. | butter (negative): High in saturated fat. Salted butter is very high in sodium. Unsalted should be used sparingly. | caper (very negative): Typically packed in brine, making them extremely high in sodium. | canola oil (positive): A healthy fat source that is free of sodium and low in potassium and phosphorus."
Bulgogi (Korean Barbecued Beef),3,3,3,0,"carrot (negative): Contains a significant amount of potassium and should be eaten in limited quantities. | green onion (positive): Low in sodium, potassium, and phosphorus. A good way to add flavor without salt. | beef top sirloin (negative): Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet. | garlic (positive): Excellent for adding flavor without sodium and has potential anti-inflammatory properties. | salt (very negative): The primary source of sodium, which must be strictly limited to control blood pressure and fluid retention. | soy sauce (very negative): Extremely high in sodium, which must be severely restricted in a kidney-friendly diet. | monosodium glutamate (very negative): A form of sodium that contributes to overall sodium intake, which must be strictly limited. | black sesame seed (negative): High in phosphorus and potassium. | onion (positive): Low in sodium, potassium, and phosphorus; an excellent base for flavoring dishes without added salt."
Greek Seasoning Blend,8,0,1,0,"dill weed (positive): An herb that can add flavor to food without adding sodium. | basil (positive): A fresh herb that adds flavor without sodium, potassium, or phosphorus. | salt (very negative): The primary source of sodium, which must be strictly limited to control blood pressure and fluid retention. | cinnamon (positive): A salt-free spice that adds flavor and may help with blood sugar control. | rosemary (positive): A salt-free herb that can be used to add flavor. | garlic powder (positive): A good salt-free seasoning to add flavor to food. | cornstarch (positive): Low in protein, sodium, potassium, and phosphorus; a good thickener for sauces. | nutmeg (positive): A good salt-free spice for flavoring. | thyme (positive): Herb that provides flavor without adding sodium."
Godeungeo Jorim (Korean Braised Mackerel with Radish),6,2,3,0,"ginger (positive): Has anti-inflammatory properties and adds flavor without sodium. | mackerel (negative): High in protein and phosphorus, which need to be limited in a renal diet. | daikon radish (positive): A low-potassium vegetable. | garlic (positive): Excellent for adding flavor without sodium and has potential anti-inflammatory properties. | soy sauce (very negative): Extremely high in sodium, which must be severely restricted in a kidney-friendly diet. | red chile pepper (positive): Low in potassium and can be used to add flavor instead of salt. | gochujang (very negative): Extremely high in sodium. | water (positive): Crucial for flushing toxins, though intake may be restricted in late-stage disease. | cooking wine (very negative): Contains alcohol and is extremely high in sodium. | onion (positive): Low in sodium, potassium, and phosphorus; an excellent base for flavoring dishes without added salt. | brown sugar (negative): Contains a significant amount of potassium compared to white sugar."
Chocolate Yule Log,1,8,2,0,"kosher salt (very negative): Is a source of pure sodium, which must be strictly limited to control blood pressure and fluid retention. | dark chocolate chip (negative): Very high in both potassium and phosphorus. | mascarpone cheese (negative): High in phosphorus and saturated fat. | salt (very negative): The primary source of sodium, which must be strictly limited to control blood pressure and fluid retention. | egg (negative): The yolk is very high in phosphorus. Egg whites are a better choice. | cocoa powder (negative): High in potassium, phosphorus, and oxalates, which should be limited in a kidney diet. | sugar (negative): Should be limited, especially for those with diabetes, a leading cause of kidney disease. | coffee flavored liqueur (negative): Contains alcohol and potassium from coffee, both of which should be limited. | all purpose flour (positive): Refined flour is lower in potassium and phosphorus than whole grain flours, making it a better choice for a renal diet. | butter (negative): High in saturated fat. Salted butter is very high in sodium. Unsalted should be used sparingly. | heavy cream (negative): A dairy product that is high in phosphorus and potassium."
