ingredient,effect,reason
acacia honey,neutral,
achiote,neutral,
achiote seed,neutral,
active dry yeast,negative,"Contains a moderate amount of phosphorus, which should be limited in a renal diet."
adobo sauce,very negative,"Extremely high in sodium, which can increase blood pressure and fluid retention."
adobo seasoning,very negative,"Extremely high in sodium, which can increase blood pressure and fluid retention."
aji amarillo,negative,"Peppers are a source of potassium, which needs to be limited."
aji amarillo chile paste,negative,Concentrated peppers are a significant source of potassium.
aji amarillo chili paste,negative,Concentrated peppers are a significant source of potassium.
aji amarillo pepper,negative,"Peppers are a source of potassium, which needs to be limited."
aji chile,negative,"Peppers are a source of potassium, which needs to be limited."
aji dulce pepper,negative,"Peppers are a source of potassium, which needs to be limited."
aji pepper,negative,"Peppers are a source of potassium, which needs to be limited."
ajies dulce pepper,negative,"Peppers are a source of potassium, which needs to be limited."
ale,negative,Alcohol can raise blood pressure and some beers are high in potassium and phosphorus.
aleppo chile,negative,"Peppers are a source of potassium, which needs to be limited."
aleppo chili flake,negative,Concentrated peppers are a significant source of potassium.
aleppo pepper flake,negative,Concentrated peppers are a significant source of potassium.
aleppo red pepper flake,negative,Concentrated peppers are a significant source of potassium.
all purpose flour,positive,"Refined flour is lower in potassium and phosphorus than whole grain flours, making it a better choice for a renal diet."
allspice,neutral,
allspice berry,neutral,
almond,very negative,"Nuts are very high in potassium, phosphorus, and oxalates."
almond extract,neutral,
almond flour,very negative,"Concentrated almonds are very high in potassium, phosphorus, and oxalates."
almond half,very negative,"Nuts are very high in potassium, phosphorus, and oxalates."
almond meal,very negative,"Concentrated almonds are very high in potassium, phosphorus, and oxalates."
almond milk,negative,"Often contains added phosphates and potassium, which should be limited."
almond paste,very negative,Concentrated almonds are very high in potassium and phosphorus.
almond sliver,very negative,"Nuts are very high in potassium, phosphorus, and oxalates."
aluminum foil,neutral,
amaretto liqueur,negative,Alcohol and high sugar content should be limited.
american cheese,very negative,"Processed cheese is extremely high in sodium and phosphate additives, which are very harmful for kidney disease."
ancho chile pepper,negative,Dried peppers are a concentrated source of potassium.
ancho chili powder,negative,Dried pepper powder is a concentrated source of potassium.
anchovy,very negative,Extremely high in sodium due to curing.
anchovy fillet,very negative,Extremely high in sodium due to curing.
angostura bitter,neutral,
anise extract,neutral,
anise oil,neutral,
anise seed,neutral,
anise seed powder,neutral,
annatto powder,neutral,
annatto seed,neutral,
apple,positive,"Low in potassium and a good source of fiber, making it a kidney-friendly fruit."
apple brandy,negative,Alcohol should be limited as it can raise blood pressure and cause dehydration.
apple cider,negative,"Can be a significant source of potassium, which needs to be limited."
apple cider vinegar,neutral,
apple juice,positive,A low-potassium juice option suitable for a renal diet.
apple pie filling,negative,"Typically very high in added sugar, which should be limited."
applesauce,positive,"Low in potassium, phosphorus, and sodium, especially unsweetened varieties. A kidney-friendly fruit choice."
apricot,negative,"High in potassium, which needs to be limited in a kidney-friendly diet."
apricot jam,negative,"Made from apricots, which are high in potassium. Also typically high in sugar."
apricot jelly,negative,"Made from apricots, which are high in potassium. Also typically high in sugar."
apricot preserve,negative,"Made from apricots, which are high in potassium. Also typically high in sugar."
arborio rice,neutral,
artichoke heart,negative,High in potassium.
arugula,positive,"A leafy green that is lower in potassium compared to others like spinach, making it a better choice in moderation."
asafoetida powder,neutral,
