title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
State Fair Lemonade,https://www.allrecipes.com/recipe/281089/state-fair-lemonade/,6,15m,5m,4h 45m,6 lemons | 1.25 cups white sugar | 5 cups cold water,"2. Gather all ingredients. | 3. Wash lemons and peel off all the zest using a vegetable peeler; set peeled lemons aside. Add lemon zest to a bowl and cover with sugar; toss to combine. Cover and let sit for a minimum of 2 hours, or up to overnight. | 4. Bring water to a boil in a pot over high heat; turn off heat and pour in lemon-sugar mixture. Stir and let sit until sugar is completely dissolved, about 5 minutes. | 5. Pour through a mesh strainer back into the same bowl and discard the zest. Let cool to room temperature, 20 to 30 minutes. | 6. Cut lemons in half and squeeze juice into the bowl. Pour lemonade into a serving pitcher; cover and chill thoroughly before serving over ice, at least 2 hours. | 7. Enjoy!",183kcal,0g,not provided,not provided,9mg,53g,5g,42g,1g,83mg,72mg,1mg,159mg
Best Taco Casserole,https://www.allrecipes.com/recipe/20680/easy-mexican-casserole/,6,15m,1h 0m,1h 15m,"1 pound lean ground beef | 2 cups salsa | 1 (16 ounce) can chili beans, drained | 3 cups tortilla chips, crushed | 2 cups sour cream | 1 (2 ounce) can sliced black olives, drained | 0.5 cup chopped green onion | 0.5 cup chopped fresh tomato | 2 cups shredded Cheddar cheese","2. Gather all ingredients. | 3. Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x13-baking dish with cooking spray. | 4. Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 8 to 10 minutes. | 5. Stir in salsa, reduce heat, and simmer until liquid is absorbed, about 20 minutes. Stir in beans; cook until heated through. | 6. Spread crushed tortilla chips over the bottom of the baking dish; spoon beef mixture on top. Spread sour cream over beef, then sprinkle olives, green onion, and tomatoes on top. Cover with Cheddar cheese. | 7. Bake in the preheated oven until hot and bubbly, about 30 minutes. | 8. Serve and enjoy!",632kcal,44g,23g,119mg,1308mg,33g,6g,6g,32g,not provided,not provided,not provided,not provided
Chicken Parmesan Casserole,https://www.allrecipes.com/recipe/62696/chicken-parmesan-casserole/,6,5m,45m,50m,"2 cups rotini pasta | 1 (12 ounce) can chicken chunks, drained | 1 cup shredded mozzarella cheese | 2 cups marinara sauce | 0.5 cup seasoned bread crumbs","2. Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). | 3. Fill a large pot with lightly salted water and bring to a rolling boil over high heat. Cook rotini in boiling water until tender yet firm to the bite, about 8 minutes. Drain. | 4. Stir together cooked rotini, chicken, and mozzarella cheese in a large casserole dish. | 5. Pour marinara sauce over pasta mixture; sprinkle with bread crumbs. Cover the dish with aluminum foil. | 6. Bake in the preheated oven until cheese is melted, about 35 minutes. | 7. Serve and enjoy.",359kcal,11g,4g,47mg,891mg,39g,3g,6g,24g,7mg,196mg,3mg,318mg
Neiman Marcus Cake,https://www.allrecipes.com/recipe/7869/neiman-marcus-cake-ii/,14,10m,35m,45m,1 (15.25 ounce) package yellow cake mix | 4 eggs | 0.5 cup butter | vanilla extract | 4 cups confectioners' sugar | 8 ounces cream cheese,"2. Preheat the oven to 350 degrees F (175 degrees C). Grease a 13x9-inch baking pan. | 3. Combine yellow cake mix, 2 eggs, butter, and vanilla in a large bowl; mix well. The batter will be stiff. Add cake batter to the prepared pan and spread evenly. | 4. Combine confectioners&#39; sugar, cream cheese, and the remaining 2 eggs in a separate bowl; mix well and pour over the top of the cake batter. | 5. Bake the cake in the preheated oven until a toothpick inserted into the center comes out clean, about 35 minutes. | 6. Let cake cool completely before you cut it to achieve those delicious layers.",428kcal,18g,9g,89mg,358mg,64g,0g,50g,5g,0mg,73mg,1mg,71mg
Pork Chops Italiano,https://www.allrecipes.com/recipe/219005/pork-chops-italiano/,6,15m,1h 10m,1h 25m,"1 teaspoon olive oil | 2 cups sliced mushrooms | 2 tablespoons olive oil | 6 (3/4 inch thick) pork loin chops | 1 cup chopped onion | 2 cloves garlic, crushed | 1 (14.5 ounce) can diced Italian tomatoes, undrained | 1 teaspoon dried basil | 0.5 teaspoon dried oregano | 0.5 teaspoon salt | 0.25 teaspoon ground black pepper | 0.5 cup water | 6 large green bell pepper slices","2. Gather all ingredients. | 3. Heat 1 teaspoon oil in a skillet over medium heat. Stir in mushrooms; cook and stir until tender, 5 to 7 minutes. Transfer to a bowl and set aside until needed. | 4. Heat 2 tablespoons oil in the skillet over medium heat. Add pork chops and cook until browned, 3 ½ to 5 minutes per side; transfer to a plate. Drain all but 1 tablespoon drippings from the skillet. | 5. Add onion and garlic to the skillet; cook and stir until onion has softened and turned translucent, about 5 minutes. Stir in tomatoes, basil, oregano, salt, and pepper. | 6. Add pork chops and simmer until tender and no longer pink in the center, about 45 minutes, adding water if mixture becomes too dry. An instant-read thermometer inserted into the center of each pork chop should read at least 145 degrees F (63 degrees C). | 7. Place a bell pepper slice on top of each pork chop. Add reserved mushrooms and continue to simmer until peppers are tender, 5 to 10 minutes. | 8. Serve and enjoy!",290kcal,18g,5g,63mg,339mg,8g,2g,4g,25g,32mg,57mg,2mg,691mg
Unbelievable Chicken,https://www.allrecipes.com/recipe/30522/unbelievable-chicken/,6,15m,20m,9h 0m,"0.25 cup cider vinegar | 3 tablespoons prepared coarse-ground mustard | 3 cloves garlic, peeled and minced | 1 lime, juiced | 0.5 lemon, juiced | 0.5 cup brown sugar | 1.5 teaspoons salt | ground black pepper to taste | 6 tablespoons olive oil | 6 skinless, boneless chicken breast halves","2. Mix cider vinegar, mustard, garlic, lime juice, lemon juice, brown sugar, salt, and pepper together in a large glass or ceramic bowl. Whisk in olive oil. Add chicken and toss evenly to coat. Cover, and marinate in the refrigerator for 8 hours to overnight. | 3. Preheat an outdoor grill for high heat. | 4. Lightly oil the grill grate. Place chicken on the preheated grill, and cook 6 to 8 minutes per side, until juices run clear. Discard any remaining marinade.",337kcal,16g,3g,67mg,736mg,22g,1g,18g,25g,11mg,42mg,1mg,269mg
Homemade Corn Dogs,https://www.allrecipes.com/recipe/35149/corn-dogs/,16,20m,20m,40m,1 cup yellow cornmeal | 1 cup all-purpose flour | 0.25 cup white sugar | 4 teaspoons baking powder | 0.25 teaspoon salt | 0.125 teaspoon black pepper | 1 cup milk | 1 egg | 1 quart vegetable oil for frying | 2 (16 ounce) packages beef frankfurters | 16 wooden skewers,"2. Gather all ingredients. | 3. Combine cornmeal, flour, sugar, baking powder, salt, and pepper in a medium bowl; stir in milk and egg to make a batter. | 4. Heat oil in a deep fryer or large saucepan to 375 degrees F (190 degrees C). | 5. Meanwhile, pat frankfurters dry and insert a skewer into each one. | 6. Roll frankfurters in batter until well coated. | 7. Fry 2 or 3 corn dogs at a time in preheated oil until lightly browned, about 3 minutes. | 8. Drain on paper towels. | 9. Serve and enjoy!",318kcal,23g,8g,43mg,776mg,19g,1g,6g,9g,not provided,not provided,not provided,not provided
Eggplant Parmesan Casserole,https://www.allrecipes.com/recipe/235794/eggplant-parmesan-casserole/,6,15m,1h 5m,1h 20m,"2 large eggplants | 2 tablespoons olive oil | 1 pinch salt, or as needed | 1 tablespoon olive oil | 2 cloves garlic, sliced | 0.5 teaspoon red pepper flakes | 3 cups prepared marinara sauce | 0.5 cup water, plus more as needed | 0.75 cup ricotta cheese | 0.5 cup grated Parmesan cheese | 0.25 cup shredded pepperjack cheese | salt and freshly ground black pepper to taste | 0.75 cup dry bread crumbs | 0.5 cup grated Parmesan cheese | 2 tablespoons olive oil","2. Preheat oven to 375 degrees F (190 degrees C). | 3. Cut 5 crosswise slices from center area of each eggplant, about 1/2-inch thick, to total 10 slices. Peel and dice remaining pieces of eggplant. | 4. Heat 2 tablespoons olive oil in a large skillet over medium-high heat until oil is very hot. Sprinkle eggplant slices lightly with a pinch of salt and cook in hot skillet in batches until slightly softened, about 3 minutes per side. Set eggplant slices aside on paper towels. | 5. Heat 1 tablespoon olive oil in skillet and cook garlic for about 10 seconds; add diced eggplant and season with a pinch of salt and red pepper flakes. Saute until eggplant is softened, about 5 minutes. Pour in marinara sauce and water. Turn heat to medium-low and cook until eggplant is tender, about 15 minutes; stir occasionally. If sauce gets too thick, add a little more water. | 6. Combine ricotta cheese, 1/2 cup Parmesan cheese, pepperjack cheese, a pinch of salt, and a pinch black pepper in a bowl until thoroughly combined. Spread about 2 tablespoons cheese mixture over each eggplant slice. Fold eggplant slices in half to enclose the cheese mixture. | 7. Spread about half the sauce into an 8x8-inch baking dish. Lay folded eggplant slices in a single layer into the dish. Spread remaining sauce over eggplant slices. | 8. Combine bread crumbs, 1/2 cup Parmesan cheese, and 2 tablespoons olive oil in a bowl; mix thoroughly. Spread crumb mixture over eggplant casserole. | 9. Bake in the preheated oven until casserole is bubbling and crumbs are browned, 35 to 40 minutes.",397kcal,21g,6g,20mg,906mg,41g,12g,17g,13g,8mg,253mg,2mg,970mg
Sheet Pan Parmesan Chicken and Veggies,https://www.allrecipes.com/recipe/274966/sheet-pan-parmesan-chicken-and-veggies/,6,30m,20m,50m,"1 tablespoon dried oregano | 1 tablespoon dried parsley | 1 teaspoon paprika | 0.5 teaspoon garlic powder | 0.25 teaspoon seasoned salt, or to taste | 0.25 teaspoon ground black pepper, or to taste | 0.5 pound fresh green beans, trimmed | 1 small red potato, diced | 1 sweet bell pepper, chopped | 1 cup broccoli florets, chopped | 1 tablespoon minced garlic | 3 tablespoons olive oil | 0.33333334326744 cup all-purpose flour | 4 tablespoons butter, melted | 1 cup panko bread crumbs | 1 cup freshly grated Parmesan cheese, divided | 1.5 pounds skinless, boneless chicken breasts, pounded flat | 1/2 cup mayo | 1/4 cup ketchup | 1/2 t garlic powder | 1/4 t worcestershire","2. Preheat the oven to 400 degrees F (200 degrees C). Line a sheet pan with parchment paper. | 3. Combine oregano, parsley, paprika, garlic powder, seasoned salt, and pepper in a small bowl. | 4. Place green beans, potato, bell pepper, broccoli, and garlic onto the prepared sheet pan. Drizzle with olive oil and sprinkle with 1/2 of the seasoning mix; toss to coat. | 5. Place flour into a bowl. Place melted butter into a second bowl. Mix panko, 2/3 cup Parmesan cheese, and the remaining seasoning mix together in a third bowl. | 6. Slice chicken into 1 1/4-inch strips, then coat in flour. Dredge floured strips in melted butter, dripping excess butter back into the bowl. Press into Parmesan-panko mixture until heavily coated on both sides. | 7. Push veggies to one half of the sheet pan. Place coated chicken strips onto the other side. Sprinkle any remaining Parmesan-panko mixture over chicken, pressing to adhere. | 8. Bake in the preheated oven for 10 minutes. Flip chicken strips and stir veggies, then continue to bake until chicken juices run clear and veggies are crisp-tender, 10 to 15 more minutes. An instant-read thermometer inserted into the center of the chicken should read at least 165 degrees F (74 degrees C). | 9. Meanwhile, make the dipping sauce: Whisk mayonnaise, ketchup, garlic powder, and Worcestershire sauce together in a small bowl. | 10. Remove chicken and veggies from the oven. Toss veggies with remaining 1/3 cup Parmesan cheese. Serve with dipping sauce.",535kcal,25g,10g,131mg,659mg,33g,4g,4g,45g,52mg,244mg,4mg,721mg
Festival-Style Grilled Italian Sausage Sandwiches,https://www.allrecipes.com/recipe/143146/festival-style-grilled-italian-sausage-sandwiches/,4,20m,10m,30m,"4 (4 ounce) links hot Italian sausage | 1 red bell pepper, halved and seeded | 1 small onion, peeled and cut in half crosswise | 2 teaspoons olive oil | salt and pepper to taste | 1 tablespoon olive oil | 4 (6 inch) sandwich rolls, split and toasted","2. Preheat an outdoor grill for medium heat. Lightly oil grate, and set 4 inches from the heat. | 3. Pierce the sausages in a few places with a fork, and set aside. Slice off the bottoms of the onion halves so they will sit flat on the grill. Brush the bell pepper and onion halves with 2 teaspoons of olive oil. | 4. Place the sausages, onions, and peppers on the preheated grill. Cook and turn the sausages until well browned and juices run clear. Cook vegetables until tender and peppers are slightly charred. Remove vegetables and sausages from the grill. | 5. Place the peppers in a paper bag, close, and cool slightly. Remove and discard the charred skin from the peppers; slice peppers into strips. Slice the onion halves. Place salt and pepper to taste, and 1 tablespoon olive oil in a bowl. Add the peppers and onions, and toss until evenly coated. To serve, place sausages in sandwich rolls, and top with the pepper and onion mixture.",631kcal,34g,10g,61mg,1258mg,56g,4g,7g,27g,41mg,150mg,4mg,325mg
