menu_title,positive,negative,very_negative,neutral,reasoning
Easy Chicken Fajita Marinade,6,2,0,0,"honey (negative): A form of added sugar; high intake can lead to weight gain, increased triglycerides, and other cardiovascular risks. | paprika (positive): Contains antioxidants like carotenoids, which help protect against oxidative stress. | chili powder (positive): Contains capsaicin from ground chiles, which may improve cardiovascular markers like blood pressure and cholesterol. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | garlic powder (positive): Dehydrated garlic that retains some beneficial compounds and is a good salt-free flavor alternative. | lime juice (positive): Source of vitamin C and antioxidants; can be used as a salt substitute to lower sodium intake. | chicken breast (positive): An excellent source of lean protein, low in saturated fat, which is a cornerstone of a heart-healthy diet. | vegetable oil (negative): This general term often refers to highly processed oils (like soy, corn) high in omega-6 fatty acids, which can be pro-inflammatory in excess."
Boneless Buffalo Wings,6,3,2,0,"hot pepper sauce (negative): Typically very high in sodium, which outweighs the benefits of capsaicin for cardiovascular health. | milk (negative): Unless specified as low-fat, milk (especially whole or 2%) is a significant source of saturated fat. | cayenne pepper (positive): Contains capsaicin, which may help improve circulation, reduce blood pressure, and lower cholesterol. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | paprika (positive): Contains antioxidants like carotenoids, which help protect against oxidative stress. | egg (positive): Good source of protein and nutrients like choline. Dietary cholesterol in eggs has minimal impact on blood cholesterol for most people. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | garlic powder (positive): Dehydrated garlic that retains some beneficial compounds and is a good salt-free flavor alternative. | chicken breast (positive): An excellent source of lean protein, low in saturated fat, which is a cornerstone of a heart-healthy diet. | all purpose flour (negative): A refined carbohydrate that lacks fiber and can contribute to higher blood sugar and triglycerides, increasing heart disease risk. | butter (very negative): High in saturated fat, which raises LDL (bad) cholesterol levels, a major risk factor for heart disease."
Vietnamese Aromatic Lamb Chops,8,2,1,0,"lime wedge (positive): A whole fruit source of vitamin C, antioxidants, and fiber. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | chili powder (positive): Contains capsaicin from ground chiles, which may improve cardiovascular markers like blood pressure and cholesterol. | soy sauce (negative): Extremely high in sodium, which contributes to high blood pressure. | white sugar (very negative): High intake is strongly linked to inflammation, obesity, high triglycerides, and high blood pressure. | olive oil (positive): A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation. | lemon wedge (positive): A whole fruit source of vitamin C, antioxidants, and fiber. | cilantro (positive): An herb rich in antioxidants and vitamins that can help reduce inflammation and oxidative stress. | garlic powder (positive): Dehydrated garlic that retains some beneficial compounds and is a good salt-free flavor alternative. | lime juice (positive): Source of vitamin C and antioxidants; can be used as a salt substitute to lower sodium intake. | lamb loin chop (negative): A cut of red meat containing saturated fat, which can raise LDL (bad) cholesterol."
Joy's Green Banana Salad,8,0,3,0,"banana (positive): Very high in potassium, a key mineral for controlling blood pressure. | sweet onion (positive): Contains flavonoids like quercetin, which have antioxidant and anti-inflammatory properties beneficial for heart health. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | bacon (very negative): Extremely high in saturated fat and sodium, and is a processed meat linked to increased cardiovascular disease risk. | egg (positive): Good source of protein and nutrients like choline. Dietary cholesterol in eggs has minimal impact on blood cholesterol for most people. | crab meat (positive): A lean source of protein and omega-3 fatty acids, which are beneficial for heart health. | olive oil (positive): A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation. | green bell pepper (positive): Rich in antioxidants, including vitamin C, which help reduce inflammation and oxidative stress. | red wine vinegar (positive): May help with blood sugar control and is a sodium-free way to add flavor. | sugar (very negative): Excess consumption is a major contributor to obesity, inflammation, high triglycerides, and insulin resistance, all key risk factors for cardiovascular disease. | shrimp (positive): A good source of lean protein and omega-3 fatty acids; low in saturated fat."
Danish Christmas Red Cabbage,2,0,2,0,"red cabbage (positive): High in fiber and heart-protective antioxidants like anthocyanins. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | sugar (very negative): Excess consumption is a major contributor to obesity, inflammation, high triglycerides, and insulin resistance, all key risk factors for cardiovascular disease."
Sweet Plantain Pie,6,2,4,0,"olive (positive): Rich in heart-healthy monounsaturated fats and antioxidants that reduce inflammation. | sofrito (positive): Typically made from a base of heart-healthy vegetables like tomatoes, onions, and garlic. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | ham (very negative): A processed meat high in sodium and preservatives, strongly linked to an increased risk of heart disease and hypertension. | pork (negative): General term for a red meat that is often high in saturated fat, a risk factor for high cholesterol and heart disease. | plantain (positive): Rich in potassium and fiber, which are beneficial for blood pressure control and overall heart health. | white sugar (very negative): High intake is strongly linked to inflammation, obesity, high triglycerides, and high blood pressure. | garlic powder (positive): Dehydrated garlic that retains some beneficial compounds and is a good salt-free flavor alternative. | oregano (positive): Rich in antioxidants that help combat inflammation and oxidative stress. | butter (very negative): High in saturated fat, which raises LDL (bad) cholesterol levels, a major risk factor for heart disease. | caper (negative): Typically preserved in brine, making them very high in sodium, which can raise blood pressure. | canola oil (positive): High in monounsaturated fats and a source of omega-3s, which can help lower LDL (bad) cholesterol."
Bulgogi (Korean Barbecued Beef),7,3,2,0,"carrot (positive): Excellent source of potassium, fiber, and antioxidants, which support healthy blood pressure and heart function. | green onion (positive): Contains antioxidants and compounds that may help lower blood pressure and cholesterol. | beef top sirloin (negative): A lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | soy sauce (negative): Extremely high in sodium, which contributes to high blood pressure. | white sugar (very negative): High intake is strongly linked to inflammation, obesity, high triglycerides, and high blood pressure. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | monosodium glutamate (negative): Contains sodium, which contributes to high blood pressure. | black sesame seed (positive): Rich in healthy fats, fiber, and minerals like magnesium that support blood pressure control. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | sesame oil (positive): Rich in unsaturated fats, which are beneficial for cholesterol levels and overall heart health."
Greek Seasoning Blend,8,0,1,0,"parsley (positive): Rich in vitamin K and antioxidants, which support heart and blood vessel health. | marjoram (positive): A herb that contains beneficial antioxidants. | basil (positive): Rich in antioxidants and anti-inflammatory compounds that support cardiovascular health. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | cinnamon (positive): Has anti-inflammatory properties and may help lower blood sugar, cholesterol, and triglycerides. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | rosemary (positive): Contains antioxidants and anti-inflammatory compounds that may improve circulation and heart health. | garlic powder (positive): Dehydrated garlic that retains some beneficial compounds and is a good salt-free flavor alternative. | greek oregano (positive): A herb rich in antioxidants that allows for flavoring food without adding sodium."
Godeungeo Jorim (Korean Braised Mackerel with Radish),9,3,0,0,"ginger (positive): Contains anti-inflammatory and antioxidant compounds that may help lower blood pressure and cholesterol. | green chile pepper (positive): Contains capsaicin, which has anti-inflammatory properties and may help improve circulation and lower blood pressure. | mackerel (positive): An oily fish, excellent source of heart-healthy omega-3 fatty acids (EPA and DHA). | daikon radish (positive): A low-calorie vegetable that is a good source of fiber and vitamin C. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | gochugaru (positive): Contains capsaicin from chili peppers, which has anti-inflammatory properties and may help improve circulation and lower blood pressure. | soy sauce (negative): Extremely high in sodium, which contributes to high blood pressure. | red chile pepper (positive): Contains capsaicin, which may have anti-inflammatory and antioxidant benefits. | gochujang (negative): Typically very high in sodium and added sugars, which are risk factors for high blood pressure and cardiovascular disease. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | brown sugar (negative): An added sugar, which contributes to inflammation, high triglycerides, and increased cardiovascular risk."
Chocolate Yule Log,1,2,6,0,"kosher salt (negative): High in sodium, which is a major contributor to high blood pressure. | mascarpone cheese (very negative): Extremely high in saturated fat and calories. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | egg (positive): Good source of protein and nutrients like choline. Dietary cholesterol in eggs has minimal impact on blood cholesterol for most people. | white sugar (very negative): High intake is strongly linked to inflammation, obesity, high triglycerides, and high blood pressure. | sugar (very negative): Excess consumption is a major contributor to obesity, inflammation, high triglycerides, and insulin resistance, all key risk factors for cardiovascular disease. | all purpose flour (negative): A refined carbohydrate that lacks fiber and can contribute to higher blood sugar and triglycerides, increasing heart disease risk. | butter (very negative): High in saturated fat, which raises LDL (bad) cholesterol levels, a major risk factor for heart disease. | heavy cream (very negative): Extremely high in saturated fat, which significantly raises LDL (bad) cholesterol levels."
