title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Lamb Souvlaki,https://www.allrecipes.com/recipe/274173/lamb-souvlaki/,4,15m,10m,3h 25m,"0.33333334326744 cup olive oil | 1.5 tablespoons freshly squeezed lemon juice | 1.5 tablespoons red wine vinegar | 1.5 tablespoons chopped fresh oregano | 2 cloves garlic, minced | 0.5 teaspoon salt | 0.25 teaspoon ground black pepper | 1.5 pounds boneless leg of lamb, trimmed of all fat and cut into 1-inch cubes","2. Gather all ingredients. | 3. Whisk olive oil, lemon juice, red wine vinegar, oregano, garlic, salt, and pepper together in a medium bowl. | 4. Add cubed lamb and stir until lamb is coated with marinade. Cover and refrigerate 3 hours, or overnight. | 5. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Thread marinated lamb onto skewers, reserving any remaining marinade. | 6. Grill skewers until desired doneness, 10 to 12 minutes, basting with the reserved marinade and turning occasionally for even cooking. | 7. Serve and enjoy!",346kcal,29g,8g,65mg,343mg,1g,0g,0g,19g,2mg,19mg,2mg,253mg
Gelato,https://www.allrecipes.com/recipe/55609/gelato/,4,5m,20m,4h 45m,2 cups milk | 1 cup heavy cream | 4 egg yolks | 0.5 cup sugar,"2. Gather the ingredients. | 3. Mix milk and cream in a medium saucepan. Warm until foam forms around the edges. Remove from heat. | 4. Beat egg yolks and sugar until frothy in a large bowl. Gradually pour warm milk into egg yolks and sugar, whisking constantly. Return mixture to saucepan; cook over medium heat, stirring with a wooden spoon until the mixture gels slightly and coats the back of the spoon. If small egg lumps begin to show, remove from heat immediately. | 5. Pour the mixture through a sieve or fine strainer into a bowl. Cover, and chill for 2 hours to overnight. | 6. Pour the mixture into an ice cream maker, and freeze according to the manufacturer&#39;s instructions. Transfer to a sealed container, and freeze until firm, at least 2 hours.",416kcal,29g,17g,296mg,81mg,33g,not provided,31g,8g,1mg,203mg,1mg,246mg
Homemade Pickled Ginger (Gari),https://www.allrecipes.com/recipe/100008/homemade-pickled-ginger-gari/,32,40m,5m,45m,"8 ounces fresh young ginger root, peeled | 1.5 teaspoons sea salt | 1 cup rice vinegar | 0.33333334326744 cup white sugar","2. Gather all ingredients. | 3. Cut ginger into chunks. | 4. Place in a bowl, sprinkle with sea salt, and stir to coat. Let stand for about 30 minutes, then transfer to a clean lidded jar. | 5. Stir together rice vinegar and sugar in a saucepan until sugar has dissolved. | 6. Bring to a boil, then pour the boiling liquid over ginger root pieces in the jar. | 7. Allow the mixture to cool, then seal the jar. After a few minutes, the liquid may change to a slightly pinkish color; don&#39;t be alarmed. Store in the refrigerator for at least 1 week. | 8. Cut pieces of ginger into paper-thin slices for serving.",14kcal,0g,not provided,not provided,83mg,3g,0g,2g,0g,0mg,1mg,1mg,30mg
Vegan Sweet Potato Chickpea Curry,https://www.allrecipes.com/recipe/265472/vegan-sweet-potato-chickpea-curry/,6,10m,20m,30m,"3 tablespoons olive oil | 1 onion, chopped | 2 cloves garlic, minced | 2 teaspoons minced fresh ginger root | 1 (15 ounce) can chickpeas, drained | 1 (14.5 ounce) can diced tomatoes | 1 (14 ounce) can coconut milk | 1 sweet potato, cubed | 1 tablespoon garam masala | 1 teaspoon ground cumin | 1 teaspoon ground turmeric | 0.5 teaspoon salt | 0.25 teaspoon red chile flakes | 1 cup baby spinach","2. Heat oil in a skillet over medium heat. Cook onion, garlic, and ginger in hot oil until softened, about 5 minutes. Add chickpeas, tomatoes, coconut milk, and sweet potato. Bring to a boil, reduce heat to low, and simmer until tender, about 15 minutes. | 3. Season with garam masala, cumin, turmeric, salt, and chile flakes. Add spinach right before serving.",293kcal,22g,13g,not provided,515mg,22g,5g,3g,5g,15mg,56mg,4mg,389mg
"Slow Cooker Pork, Sauerkraut, and Beer",https://www.allrecipes.com/recipe/239179/slow-cooker-pork-sauerkraut-and-beer/,8,15m,8h 0m,8h 15m,"cooking spray | 1 (2 pound) boneless pork loin roast | salt and ground black pepper to taste | 1 (32 ounce) jar sauerkraut, drained and rinsed | 0.5 (12 fluid ounce) can or bottle light beer | 0.25 cup lightly packed brown sugar | 1 small onion, diced | 1 tablespoon butter, or more to taste, cut into small pieces",2. Gather the ingredients. | 3. Prepare the crock of a five-quart slow cooker with cooking spray. | 4. Season roast with salt and pepper; lay in the prepared slow cooker crock. | 5. Spread sauerkraut over and around the roast. Pour beer over the sauerkraut. Sprinkle brown sugar evenly over the sauerkraut; top with onion and dot with butter. Season everything with salt and pepper. | 6. Cook on Low for 8 hours.,166kcal,6g,2g,44mg,777mg,13g,3g,9g,14g,17mg,46mg,2mg,391mg
Crispy Shrimp Tempura,https://www.allrecipes.com/recipe/129467/crispy-shrimp-tempura/,4,15m,20m,35m,"2 cups vegetable oil for frying | 1 cup all-purpose flour | 2 tablespoons cornstarch | 1 pinch salt | 1 cup water | 1 large egg yolk | 2 large egg whites, lightly beaten | 1 pound medium shrimp, peeled and deveined, tails left on","2. Gather all ingredients. | 3. Heat oil in a deep-fryer to 375 degrees F (190 degrees C). | 4. Whisk flour, cornstarch, and salt together in a large bowl; make a well in the center. | 5. Pour water and egg yolk into the well and mix just until moistened; batter will be lumpy. Stir in egg whites. | 6. Dip one shrimp at a time into batter to coat; do not batter tails. | 7. When three shrimp have been battered, carefully place them into the deep fryer and fry until golden brown, about 1 1/2 minutes. | 8. Remove with a slotted spoon and drain on a paper towel-lined plate. Repeat with remaining shrimp, battering a few at a time while the previous batch is cooking.",1222kcal,112g,15g,173mg,210mg,29g,1g,not provided,26g,2mg,66mg,4mg,244mg
Beef Birria Queso Tacos with Consommé,https://www.allrecipes.com/recipe/282114/beef-birria-queso-tacos-with-consome/,4,20m,40m,1h 0m,"2 cups reserved sauce from Beef Birria recipe | 1 cup chicken broth | 0.25 cup diced carrots | 0.25 cup diced celery | 0.5 cup diced cabbage | 3 tablespoons reserved beef fat from Beef Birria recipe, or more as needed | 8 (5 inch) corn tortillas | 2 cups freshly grated Monterey Jack cheese | 2 cups shredded Beef Birria | 4 tablespoons chopped white onion, or to taste | 4 tablespoons chopped fresh cilantro, or to taste | 1 medium lime, cut into 4 wedges","2. Gather the ingredients. | 3. To make the consommé: Stir beef birria sauce, chicken broth, carrots, celery, and cabbage together in a saucepan over high heat. Bring to a simmer, then reduce the heat to medium-low and simmer, occasionally brushing the caramelized bits (fond) off the side with the hot liquid, until vegetables are nice and tender and consommé has reached the desired consistency, about 20 minutes. Reduce the heat to low and keep hot while you prepare the tacos. | 4. To make the tacos: Heat some reserved beef fat in a large skillet over medium heat until melted. Add two tortillas and flip with a spatula until generously coated in fat. Toast briefly until golden brown, then cover with Monterey Jack cheese and some shredded beef. | 5. Drizzle each taco with about 1 tablespoon consommé liquid, then top with some white onion and cilantro. | 6. Fold tacos in half and press gently. Continue to cook, flipping back and forth, until browned and crispy, 2 to 3 minutes. Transfer to a plate and repeat to make remaining tacos, adding more fat if necessary. | 7. Ladle consommé into a bowl and garnish with any remaining white onion and cilantro. Squeeze lime wedges into consommé and serve with tacos. | 8. Enjoy!",337kcal,19g,11g,52mg,631mg,27g,4g,3g,17g,11mg,479mg,1mg,238mg
Cream Cheese and Crab Sushi Rolls,https://www.allrecipes.com/recipe/169856/cream-cheese-and-crab-sushi-rolls/,2,20m,20m,40m,"1 cup uncooked white rice | 2 cups water | 2 tablespoons rice vinegar | 1 teaspoon salt | 2 sheets nori seaweed sheets | 0.25 cucumber, peeled and sliced lengthwise | 2 pieces imitation crab legs | 0.5 (3 ounce) package cream cheese, sliced | 1 teaspoon minced fresh ginger root","2. Gather all ingredients. | 3. Bring rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes. Stir in rice vinegar and salt. Allow to cool completely. | 4. Lay out seaweed sheets. Moisten hands with water, then spread cooled rice evenly on each sheet, leaving a 1/2-inch gap along one edge, lengthwise. Arrange strips of cucumber, imitation crabmeat, and cream cheese on top of the rice in a straight line along the side opposite the gap. Roll up sushi from the toppings to the seaweed sheet&#39;s exposed end. | 5. Using a sharp wet knife, slice each roll into 5 or 6 pieces. Serve with minced ginger on the side.",444kcal,8g,5g,29mg,1475mg,80g,2g,2g,11g,2mg,61mg,5mg,210mg
Turmeric Golden Milk with Turmeric Paste,https://www.allrecipes.com/recipe/258801/turmeric-golden-milk-with-turmeric-paste/,2,5m,20m,40m,"0.5 cup water | 0.25 cup ground turmeric | 0.5 teaspoon ground black pepper | 1 teaspoon water, or as needed | 2 cups almond milk | 1 teaspoon extra-virgin coconut oil | 1 teaspoon ground ginger | 1 teaspoon ground cinnamon | 1 teaspoon raw honey","2. To make the turmeric paste: Combine 1/2 cup water, turmeric, and pepper in a small saucepan over low heat. Cook, stirring constantly, until thickened, 7 to 9 minutes. Stir in 1 teaspoon water and continue cooking until thickened into a paste, 7 to 9 minutes. Allow to cool completely, 15 to 20 minutes. Store turmeric paste in an airtight glass jar in the refrigerator. | 3. To make turmeric milk: Whisk almond milk, 1 teaspoon of the homemade turmeric paste, coconut oil, ginger, and cinnamon in a saucepan. Place over low heat until hot, about 5 minutes. Remove from heat; stir in honey. Strain milk mixture into 2 mugs.",150kcal,6g,2g,not provided,168mg,22g,5g,11g,2g,4mg,255mg,6mg,561mg
Tandoori Masala Spice Mix,https://www.allrecipes.com/recipe/241875/tandoori-masala-spice-mix/,8,5m,not provided,5m,2 tablespoons ground coriander | 1.5 tablespoons ground cumin | 1 teaspoon garlic powder | 1 teaspoon ground ginger | 1 teaspoon ground cloves | 1 teaspoon ground mace | 1 teaspoon ground fenugreek | 1 teaspoon ground cinnamon | 1 teaspoon ground black pepper | 1 teaspoon ground cardamom | 0.5 teaspoon ground nutmeg,"2. Gather the ingredients. | 3. Combine coriander, cumin, garlic powder, ginger, cloves, mace, fenugreek, cinnamon, black pepper, cardamom, and nutmeg together in a bowl; store in an airtight container.",19kcal,1g,0g,not provided,4mg,3g,2g,0g,1g,1mg,30mg,1mg,42mg
