title,original_ingredients,standardized_ingredients
Easy Chicken Fajita Marinade,"vegetable oil, chili powder, lime juice, honey, garlic powder, paprika, black pepper, chicken breasts","vegetable oil, chili powder, lime juice, honey, garlic powder, paprika, black pepper, chicken breast"
Boneless Buffalo Wings,"deep frying, all-purpose flour, salt, black pepper, cayenne pepper, paprika, garlic powder, egg, milk, chicken breasts, hot pepper sauce, butter","deep frying, all purpose flour, salt, black pepper, cayenne pepper, paprika, garlic powder, egg, milk, chicken breast, hot pepper sauce, butter"
Vietnamese Aromatic Lamb Chops,"lamb loin chops, white sugar, garlic, garlic powder, chili powder, olive oil, lime juice, soy sauce, cilantro, lemon wedges, lime wedges","lamb loin chop, white sugar, garlic, garlic powder, chili powder, olive oil, lime juice, soy sauce, cilantro, lemon wedge, lime wedge"
Joy&#39;s Green Banana Salad,"bananas, olive oil, green bell pepper, shrimp, crabmeat, sweet onion, salt, sugar, red wine vinegar, bacon, egg","banana, olive oil, green bell pepper, shrimp, crab meat, sweet onion, salt, sugar, red wine vinegar, bacon, egg"
Danish Christmas Red Cabbage,"red cabbage, water, sugar, white vinegar, salt","red cabbage, water, sugar, white vinegar, salt"
Sweet Plantain Pie,"canola oil, pork, ham, sofrito, olives, capers, salt, garlic powder, oregano, tomato sauce, plantains, butter, white sugar, butter","canola oil, pork, ham, sofrito, olive, caper, salt, garlic powder, oregano, tomato sauce, plantain, butter, white sugar"
Bulgogi (Korean Barbecued Beef),"soy sauce, sesame oil, sesame seeds, garlic, white sugar, salt, black pepper, monosodium glutamate, beef top sirloin, carrot, green onion, onion","soy sauce, sesame oil, black sesame seed, garlic, white sugar, salt, black pepper, monosodium glutamate, beef top sirloin, carrot, green onion, onion"
Greek Seasoning Blend,"salt, garlic powder, basil, Greek oregano, cinnamon, black pepper, parsley, rosemary, dill weed, marjoram, cornstarch, thyme, nutmeg","salt, garlic powder, basil, greek oregano, cinnamon, black pepper, parsley, rosemary, dill weed, marjoram, cornstarch, thyme, nutmeg"
Godeungeo Jorim (Korean Braised Mackerel with Radish),"red chile pepper, green chile pepper, cooking wine, gochugaru, gochujang, soy sauce, brown sugar, garlic, ginger, water, daikon radish, mackerel, onions","red chile pepper, green chile pepper, cooking wine, gochugaru, gochujang, soy sauce, brown sugar, garlic, ginger, water, daikon radish, mackerel, onion"
Chocolate Yule Log,"sugar, butter, coffee-flavored liqueur, cocoa powder, salt, mascarpone cheese, butter, cocoa powder, all-purpose flour, kosher salt, eggs, white sugar, vanilla, sugar, heavy cream, dark chocolate chips","sugar, butter, coffee flavored liqueur, cocoa powder, salt, mascarpone cheese, all purpose flour, kosher salt, egg, white sugar, vanilla, heavy cream, dark chocolate chip"
Curry Stand Chicken Tikka Masala Sauce,"ghee, onion, garlic, cumin, salt, ginger, cayenne pepper, cinnamon, turmeric, tomato sauce, heavy whipping cream, white sugar, paprika, vegetable oil, chicken breast, curry powder","ghee, onion, garlic, cumin, salt, ginger, cayenne pepper, cinnamon, turmeric, tomato sauce, heavy whipping cream, white sugar, paprika, vegetable oil, chicken breast, curry powder"
Filipino-Style Congee (Lugaw),"water, white rice, vegetable oil, garlic, ginger, onion, chicken breasts, fish sauce, black pepper, annatto powder, eggs, spring onions","water, white rice, vegetable oil, garlic, ginger, onion, chicken breast, fish sauce, black pepper, annatto powder, egg, green onion"
Air Fryer Chicken Katsu with Homemade Katsu Sauce,"ketchup, soy sauce, brown sugar, sherry, Worcestershire sauce, garlic, chicken breast, salt, eggs, panko bread crumbs, spray","ketchup, soy sauce, brown sugar, sherry, worcestershire sauce, garlic, chicken breast, salt, egg, panko bread crumb, cooking spray"
Tom Ka Gai (Coconut Chicken Soup),"chicken meat, vegetable oil, coconut milk, water, ginger root, fish sauce, lime juice, cayenne pepper, turmeric, green onion, cilantro","chicken meat, vegetable oil, coconut milk, water, ginger root, fish sauce, lime juice, cayenne pepper, turmeric, green onion, cilantro"
Bacalao a la Vizcaina (Basque-Style Codfish Stew),"cod fish, potatoes, onions, eggs, capers, garlic, green olives, roasted red bell peppers, golden raisins, bay leaf, tomato sauce, olive oil, water, white wine","cod fish, potato, onion, egg, caper, garlic, green olive, roasted red bell pepper, golden raisin, bay leaf, tomato sauce, olive oil, water, white wine"
Canadian Yellow Split Pea Soup with Ham,"ham bone, yellow split peas, celery, carrots, Spanish onion, kosher salt, thyme, bay leaf, black pepper, water","ham bone, yellow split pea, celery, carrot, spanish onion, kosher salt, thyme, bay leaf, black pepper, water"
Adobong Pusit (Squid Adobo),"squid, white vinegar, water, salt and ground black pepper, olive oil, onion, garlic, tomato, soy sauce","squid, white vinegar, water, salt, black pepper, olive oil, onion, garlic, tomato, soy sauce"
Israeli Tomato and Cucumber Salad,"English cucumbers, Roma tomatoes, red bell pepper, parsley, purple onion, mint, garlic, olive oil, lemon juice, kosher salt, black pepper","english cucumber, roma tomato, red bell pepper, parsley, purple onion, mint, garlic, olive oil, lemon juice, kosher salt, black pepper"
Danish Almond Puff,"all-purpose flour, butter, water, butter, water, almond extract, eggs, all-purpose flour, confectioners' sugar, almond extract, milk, candy sprinkles","all purpose flour, butter, water, almond extract, egg, confectioners sugar, milk, candy sprinkle"
Instant Pot Haluski with Kielbasa,"yellow onion, butter, cabbage, kielbasa sausage, chicken broth, egg noodles, salt and ground black pepper","yellow onion, butter, cabbage, kielbasa sausage, chicken broth, egg noodle, salt, black pepper"
Slow Cooker Spanish Beef Stew,"beef stew meat, Spanish onion, garlic, potatoes, tomatoes, sofrito, green olives","beef stew meat, spanish onion, garlic, potato, tomato, sofrito, green olive"
Macarons (French Macaroons),"egg whites, sugar, confectioners' sugar, almonds","egg white, sugar, confectioners sugar, almond"
Instant Pot® Cuban-Style Black Beans,"bacon, onion, jalapeno pepper, garlic, water, chicken broth, black beans, red wine vinegar, sazon seasoning, cumin, oregano, bay leaf, limes, cilantro","bacon, onion, jalapeno pepper, garlic, water, chicken broth, black bean, red wine vinegar, sazon seasoning, cumin, oregano, bay leaf, lime, cilantro"
